3MA	[np] - 3MA [np]
possible	[adj] - posible [adj]
posséder	[vblex] - poseer [vblex]
post	[n] - puesto [n]
postal	[adj.f] - postal [adj.mf]
postal	[adj.GD] - postal [adj.mf]
postal	[adj.m] - postal [adj.mf]
poste	[n.f.ND] - correos [n.m.pl]
poste	[n.f.pl] - correos [n.m.pl]
poste	[n.f.sg] - correos [n.m.pl]
poste	[n.m] - plaza [n.f]
poste budgétaire	[n.m] - partida presupuestaria [n.f]
poste de police	[n.m] - comisaría [n.f]
poste de travail	[n] - puesto de trabajo [n]
poster	[n] - póster [n]
postguerre	[n] - posguerra [n]
posthume	[adj.mf] - póstumo [adj.f]
posthume	[adj.mf] - póstumo [adj.GD]
posthume	[adj.mf] - póstumo [adj.m]
Postigo	[np] - Postigo [np]
Postiguet	[np] - Postiguet [np]
postmodernité	[n] - postmodernidad [n]
postsynchronisation	[n] - postsincronización [n]
postural	[adj.f] - postural [adj.mf]
postural	[adj.GD] - postural [adj.mf]
postural	[adj.m] - postural [adj.mf]
postérieurement	[adv] - posteriormente [adv]
postériorité	[n] - posterioridad [n]
postérité	[n] - poseridad [n]
pot	[n] - tarro [n]
potable	[adj] - potable [adj]
potassium	[n] - potasio [n]
poteau	[n] - poste [n]
potentialisation	[n] - potencialización [n]
potentialité	[n] - potencialidad [n]
potentiel	[adj.f] - potencial [adj.mf]
potentiel	[adj.GD] - potencial [adj.mf]
potentiel	[adj.m] - potencial [adj.mf]
potentiellement	[adv] - potencialmente [adv]
poterie	[n] - alfarería [n]
potier	[n] - alfarero [n]
potion	[n] - poción [n]
Potter	[np] - Potter [np]
pouce	[n.m] - pulgada [n.f]
pouce	[n] - pulgar [n]
poudre	[n] - pólvora [n]
poule	[n] - gallina [n]
poulet	[n] - pollo [n]
poulpe	[n] - pulpo [n]
pouls	[n.m.sp] - pulso [n.m.ND]
pouls	[n.m.sp] - pulso [n.m.pl]
pouls	[n.m.sp] - pulso [n.m.sg]
poumon	[n] - pulmón [n]
poupe	[n] - popa [n]
poupée	[n.f] - muñeco [n.m]
poupée	[n] - muñeca [n]
pour	[pr] - para [pr]
pour ainsi dire	[adv] - por así decirlo [adv]
pour autant	[adv] - sin embargo [adv]
pour cause de	[pr] - debido a [pr]
pour ce qui est de	[pr] - con respecto a [pr]
pour cent	[adv] - por ciento [adv]
pour l'instant	[adv] - de momento [adv]
pour l'instant	[adv] - por ahora [adv]
pour le moment	[adv] - de momento [adv]
pour le moment	[adv] - por el momento [adv]
pour peu que	[cnjadv] - con que [cnjadv]
pour plus d'informations	[cnjadv] - para mayor información [cnjadv]
pour plus de renseignements	[cnjadv] - para más información [cnjadv]
pour que	[cnjadv] - para que [cnjadv]
pour que ce soit valide	[cnjadv] - para que tenga validez [cnjadv]
pour sa démarche	[cnjadv] - para su trámite [cnjadv]
pour sa nouvelle démarche	[cnjadv] - para su nueva tramitación [cnjadv]
pour sa part	[adv] - por su parte [adv]
pour sa vérification	[cnjadv] - para su bastanteo [cnjadv]
pour une raison x ou y	[adv] - por hache o por be [adv]
pour valoir ce que de doit	[cnjadv] - para que conste [cnjadv]
pour votre connaissance	[cnjadv] - para su conocimiento [cnjadv]
pour votre connaissance et effets	[cnjadv] - para su conocimiento y efectos [cnjadv]
pourcentage	[n] - porcentaje [n]
pourcentage	[n] - tanto por ciento [n]
pourchasser	[vblex] - perseguir [vblex]
pourquoi	[n] - porqué [n]
poursuite	[n] - persecución [n]
poursuivre	[vblex] - demandar [vblex]
poursuivre	[vblex] - proseguir [vblex]
pourtant	[adv] - sin embargo [adv]
pourtant	[cnjadv] - sin embargo [cnjadv]
pourvoir	[vblex] - proveer [vblex]
pourvu	[adj] - provisto [adj]
pourvu que	[cnjadv] - con tal que [cnjadv]
pousse	[n.f] - brote [n.m]
pousser	[vblex] - empujar [vblex]
Poussin	[np] - Poussin [np]
poussin	[n] - alevín [n]
poussière	[n.f] - polvo [n.m]
Poutine	[np] - Putin [np]
poutre	[n] - viga [n]
pouvoir	[n] - poder [n]
pouvoir	[vbmod] - poder [vbmod]
pouvoir d'achat	[n] - poder adquisitivo [n]
Poveda	[np] - Poveda [np]
Power	[np] - Power [np]
Pozuelo	[np] - Pozuelo [np]
Pozuelo de Alarcón	[np] - Pozuelo de Alarcón [np]
Pozzato	[np] - Pozzato [np]
poème	[n] - poema [n]
poète	[n.f] - poeta [n.mf]
poète	[n.GD] - poeta [n.mf]
poète	[n.m] - poeta [n.mf]
poésie	[n] - poesía [n]
poétique	[adj.mf] - poético [adj.f]
poétique	[adj.mf] - poético [adj.GD]
poétique	[adj.mf] - poético [adj.m]
poêle	[n] - paella [n]
poêle	[n] - sartén [n]
PP	[n.acr] - PP [n.acr]
PPDA	[np] - PPDA [np]
PPI	[n] - PPI [n]
Prague	[np] - Praga [np]
Praia	[np] - Praia [np]
Praileaitz	[np] - Praileaitz [np]
Prairie	[np] - Pradera [np]
Prat	[np] - Prat [np]
pratique	[adj.mf] - práctico [adj.f]
pratique	[adj.mf] - práctico [adj.GD]
pratique	[adj.mf] - práctico [adj.m]
pratique	[n] - práctica [n]
pratiquement	[adv] - prácticamente [adv]
pratiquer	[vblex] - practicar [vblex]
Prats	[np] - Prats [np]
Prebostes	[np] - Prebostes [np]
premier	[adj] - primer [adj]
premier	[adj] - primero [adj]
premier	[adj] - primo [adj]
premier	[n] - premier [n]
premier ministre	[n] - primer ministro [n]
Premier Monde	[np] - Primer Mundo [np]
Premium	[np] - Premium [np]
Première Guerre mondiale	[np] - Primera Guerra mundial [np]
premièrement	[adv] - primero [adv]
prendre	[vblex] - asir [vblex]
prendre	[vblex] - coger [vblex]
prendre	[vblex] - tomar [vblex]
prendre conscience	[vblex] - tomar conciencia [vblex]
prendre des vessies pour des lanternes	[vblex] - confundir la gimnasia con la magnesia [vblex]
prendre des vessies pour des lanternes	[vblex] - confundir Roma con Santiago [vblex]
prendre du galon	[vblex] - ascender de categoría [vblex]
prendre en otage	[vblex] - secuestrar [vblex]
prendre goût	[vblex] - tomar gusto [vblex]
prendre la place	[vblex] - abultar [vblex]
prendre la relève de	[vblex] - relevar [vblex]
prendre le taureau par les cornes	[vblex] - coger al toro por los cuernos [vblex]
prendre les devants	[vblex] - tomar la delantera [vblex]
prendre position	[vblex] - posicionar [vblex]
prendre pour le nombril du monde	[vblex] - creer el ombligo del mundo [vblex]
prendre ses jambes à son cou	[vblex] - poner pies en polvorosa [vblex]
prendre son essor	[vblex] - levantar el vuelo [vblex]
prendre un biais	[vblex] - dar un rodeo [vblex]
prescripteur	[n] - prescriptor [n]
prescriptif	[adj] - preceptivo [adj]
prescription	[n] - prescripción [n]
prescrire	[vblex] - prescribir [vblex]
Presley	[np] - Presley [np]
presque	[preadv] - casi [preadv]
pressant	[adj.f] - apremiante [adj.mf]
pressant	[adj.f] - urgente [adj.mf]
pressant	[adj.GD] - apremiante [adj.mf]
pressant	[adj.m] - apremiante [adj.mf]
pressant	[adj.m] - urgente [adj.mf]
presse	[n] - prensa [n]
pressentir	[vblex] - intuir [vblex]
pressentir	[vblex] - presentir [vblex]
presser	[vblex] - acuciar [vblex]
pression	[n] - presión [n]
pressurer	[vblex] - prensar [vblex]
pressurisation	[n] - presurización [n]
prestation	[n] - prestación [n]
prestidigitation	[n] - prestidigitación [n]
prestige	[n] - prestigio [n]
prestigieux	[adj.f] - prestigioso [adj.f]
prestigieux	[adj.m.sp] - prestigioso [adj.m.ND]
prestigieux	[adj.m.sp] - prestigioso [adj.m.pl]
prestigieux	[adj.m.sp] - prestigioso [adj.m.sg]
Pretoria	[np] - Pretoria [np]
preuve	[n] - prueba [n]
prevente	[n] - preventa [n]
prevention	[n] - prevención [n]
prier	[vblex] - rezar [vblex]
prier de	[vblex] - rogar [vblex]
Prieto	[np] - Prieto [np]
Prieur	[np] - Prieur [np]
prieur	[n] - prior [n]
Prigioni	[np] - Prigioni [np]
primaire	[adj.mf] - primario [adj.f]
primaire	[adj.mf] - primario [adj.GD]
primaire	[adj.mf] - primario [adj.m]
primate	[n] - primate [n]
prime	[n] - bonificación [n]
prime	[n] - prima [n]
primer	[vblex] - prevalecer [vblex]
primer	[vblex] - prevaler [vblex]
primer	[vblex] - primar [vblex]
primeur	[n] - primicia [n]
primordial	[adj.f] - primordial [adj.mf]
primordial	[adj.GD] - primordial [adj.mf]
primordial	[adj.m] - primordial [adj.mf]
prince	[n] - príncipe [n]
prince des Asturies	[np] - Príncipe de Asturias [np]
princesse des Asturies	[np] - Princesa de Asturias [np]
princier	[adj] - principesco [adj]
principal	[adj.f] - principal [adj.mf]
principal	[adj.GD] - principal [adj.mf]
principal	[adj.m] - principal [adj.mf]
principal du prêt	[n] - principal del préstamo [n]
principalement	[adv] - principalmente [adv]
Principauté des Asturies	[np] - Prinicipado de Asturias [np]
principe	[n] - principio [n]
printemps	[n.m.sp] - primavera [n.f.ND]
printemps	[n.m.sp] - primavera [n.f.pl]
printemps	[n.m.sp] - primavera [n.f.sg]
printemps	[n.m] - primavera [n.f]
prioritaire	[adj.mf] - prioritario [adj.f]
prioritaire	[adj.mf] - prioritario [adj.GD]
prioritaire	[adj.mf] - prioritario [adj.m]
priorité	[n] - prioridad [n]
prise	[n.f] - apresamiento [n.m]
prise	[n] - presa [n]
prise	[n] - toma [n]
prisme	[n] - prisma [n]
prison	[n] - cárcel [n]
prison	[n] - prisión [n]
prisonnier	[n] - preso [n]
prisonnier	[n] - prisionero [n]
Pristina	[np] - Pristina [np]
Privas	[np] - Privas [np]
privation	[n] - privación [n]
privatisation	[n] - privatización [n]
priver	[vblex] - privar [vblex]
privilège	[n] - privilegio [n]
privilégier	[vblex] - privilegiar [vblex]
privé	[adj] - privado [adj]
prix	[n.f.sp] - premio [n.m.pl]
prix	[n.f.sp] - premio [n.m.sg]
prix	[n.m.sp] - galardón [n.m.ND]
prix	[n.m.sp] - galardón [n.m.pl]
prix	[n.m.sp] - galardón [n.m.sg]
prix	[n.m.sp] - precio [n.m.ND]
prix	[n.m.sp] - precio [n.m.pl]
prix	[n.m.sp] - precio [n.m.sg]
prix	[n.m.sp] - premio [n.m.ND]
prix	[n.m.sp] - premio [n.m.pl]
prix	[n.m.sp] - premio [n.m.sg]
prix	[n.m.sp] - txapela [n.f.ND]
prix	[n.m.sp] - txapela [n.f.pl]
prix	[n.m.sp] - txapela [n.f.sg]
prix d'achat	[n] - precio de compra [n]
prix de vente	[n] - precio de venta [n]
prix de vente au public	[n] - precio de venta al público [n]
prière	[n.f] - rezo [n.m]
prière	[n.f] - ruego [n.m]
pro	[n] - pro [n]
proactivité	[n] - proactividad [n]
probabilité	[n] - probabilidad [n]
probable	[adj] - probable [adj]
probablement	[adv] - probablemente [adv]
probant	[adj.f] - convincente [adj.mf]
probant	[adj.m] - convincente [adj.mf]
Probigur	[np] - Probigur [np]
problème	[n] - problema [n]
problématique	[adj.mf] - problemático [adj.f]
problématique	[adj.mf] - problemático [adj.GD]
problématique	[adj.mf] - problemático [adj.m]
problématique	[n] - problemática [n]
procession	[n] - procesión [n]
processus	[n.m.sp] - proceso [n.m.ND]
prochain	[adj] - próximo [adj]
prochain	[n] - prójimo [n]
prochainement	[adv] - próximamente [adv]
proche	[adj.mf] - cercano [adj.f]
proche	[adj.mf] - cercano [adj.GD]
proche	[adj.mf] - cercano [adj.m]
proche	[adj] - afín [adj]
Proche-Orient	[np] - Cercano Oriente [np]
Proche-Orient	[np] - Oriente Cercano [np]
Proche-Orient	[np] - Oriente Próximo [np]
Proche-Orient	[np] - Próximo Oriente [np]
proclamation	[n] - proclamación [n]
proclamer	[vblex] - proclamar [vblex]
procréation	[n] - procreación [n]
Procter	[np] - Procter [np]
procuration	[n] - procuración [n]
procurer	[vblex] - procurar [vblex]
procureur	[n.m] - fiscal [n.mf]
procès	[n.m.sp] - pleito [n.m.pl]
procès	[n.m.sp] - pleito [n.m.sg]
procès	[n.m.sp] - proceso [n.m.ND]
procès	[n.m.sp] - proceso [n.m.pl]
procès	[n.m.sp] - proceso [n.m.sg]
procéder	[vblex] - proceder [vblex]
procédure	[n.f] - enjuiciamiento [n.m]
procédure	[n.f] - procedimiento [n.m]
procédurier	[adj.f] - pleitista [adj.mf]
procédurier	[adj.GD] - pleitista [adj.mf]
procédurier	[adj.m] - pleitista [adj.mf]
procédurier	[n.f] - pleitista [n.mf]
procédurier	[n.GD] - pleitista [n.mf]
procédurier	[n.m] - pleitista [n.mf]
Prodi	[np] - Prodi [np]
prodigalité	[n] - prodigalidad [n]
prodige	[n] - prodigio [n]
prodigieux	[adj.f] - prodigioso [adj.f]
prodigieux	[adj.m.sp] - prodigioso [adj.m.ND]
prodigieux	[adj.m.sp] - prodigioso [adj.m.pl]
prodigieux	[adj.m.sp] - prodigioso [adj.m.sg]
producteur	[adj] - productor [adj]
producteur	[n] - productor [n]
productif	[adj] - productivo [adj]
production	[n] - producción [n]
productivité	[n] - productividad [n]
produire	[vblex] - producir [vblex]
produire des effets pertinents	[vblex] - surtir los efectos oportunos [vblex]
produire intérêt	[vblex] - producir interés [vblex]
produit	[n] - producto [n]
produit intérieur brut	[n] - producto interior bruto [n]
profanation	[n] - profanación [n]
profaner	[vblex] - profanar [vblex]
professer	[vblex] - profesar [vblex]
professeur	[n.mf] - profesor [n.f]
professeur	[n.mf] - profesor [n.GD]
professeur	[n.mf] - profesor [n.m]
profession	[n] - profesión [n]
professionnalisation	[n] - profesionalización [n]
professionnalisme	[n.m] - profesionalidad [n.f]
professionnalisme	[n] - profesionalismo [n]
professionnel	[adj.f] - profesional [adj.mf]
professionnel	[adj.GD] - profesional [adj.mf]
professionnel	[adj.m] - profesional [adj.mf]
professionnel	[n.f] - profesional [n.mf]
professionnel	[n.GD] - profesional [n.mf]
professionnel	[n.m] - profesional [n.mf]
professionnellement	[adv] - profesionalmente [adv]
professorat	[n] - profesorado [n]
profil	[n] - perfil [n]
profiler	[vblex] - perfilar [vblex]
profit	[n] - provecho [n]
profitable	[adj.mf] - provechoso [adj.f]
profitable	[adj.mf] - provechoso [adj.GD]
profitable	[adj.mf] - provechoso [adj.m]
profiter de	[vblex] - aprovechar [vblex]
profond	[adj] - hondo [adj]
profond	[adj] - profundo [adj]
profondeur	[n] - profundidad [n]
profondément	[adv] - hondamente [adv]
profondément	[adv] - profundamente [adv]
Profundi	[np] - Profundi [np]
profusion	[n] - profusión [n]
programmable	[adj] - programable [adj]
programmation	[n] - programación [n]
programme	[n] - programa [n]
programme	[n] - temario [n]
programmer	[vblex] - programar [vblex]
progresser	[vblex] - progresar [vblex]
progressif	[adj] - progresivo [adj]
progression	[n.f] - adelanto [n.m]
progression	[n] - progresión [n]
progressisme	[n] - progresismo [n]
progressiste	[adj] - progresista [adj]
progressivement	[adv] - progresivamente [adv]
progressivité	[n] - progresividad [n]
progrès	[n.m.sp] - progreso [n.m.ND]
progrès	[n.m.sp] - progreso [n.m.pl]
progrès	[n.m.sp] - progreso [n.m.sg]
progrès	[n] - avance [n]
prohibition	[n] - prohibición [n]
projectif	[adj] - proyectivo [adj]
projectile	[n] - proyectil [n]
projection	[n] - proyección [n]
projet	[n] - proyecto [n]
projeter	[vblex] - proyectar [vblex]
prolifique	[adj.mf] - prolífico [adj.f]
prolifique	[adj.mf] - prolífico [adj.GD]
prolifique	[adj.mf] - prolífico [adj.m]
prolifération	[n] - proliferación [n]
prologue	[n] - prólogo [n]
prolongation	[n] - prolongación [n]
prolongement	[n] - alargamiento [n]
prolonger	[vblex] - prolongar [vblex]
prolonger de	[vblex] - prolongar por [vblex]
prolétaire	[n.mf] - proletario [n.f]
prolétaire	[n.mf] - proletario [n.GD]
prolétaire	[n.mf] - proletario [n.m]
prolétariat	[n] - proletariado [n]
prolétarisation	[n] - proletarización [n]
promenade	[n.f] - paseo [n.m]
promener	[vblex] - deambular [vblex]
promener	[vblex] - pasear [vblex]
promesse	[n] - promesa [n]
prometteur	[adj] - prometedor [adj]
promettre	[vblex] - prometer [vblex]
promettre monts et merveilles	[vblex] - prometer el oro y el moro [vblex]
promiscuité	[n] - promiscuidad [n]
Promoarsa	[np] - Promoarsa [np]
promoteur	[adj] - promotor [adj]
promoteur	[n] - promotor [n]
promotion	[n.f] - fomento [n.m]
promotion	[n] - promoción [n]
promotionnel	[adj.f] - promocional [adj.mf]
promotionnel	[adj.GD] - promocional [adj.mf]
promotionnel	[adj.m] - promocional [adj.mf]
promouvoir	[vblex] - fomentar [vblex]
promouvoir	[vblex] - promocionar [vblex]
promouvoir	[vblex] - promover [vblex]
Promovisa	[np] - Promovisa [np]
promptement	[adv] - rápidamente [adv]
promulgation	[n.m] - promulgación [n.f]
promulguer	[vblex] - promulgar [vblex]
Prométhée	[np] - Prometeo [np]
pronom	[n] - pronombre [n]
prononcer	[vblex] - pronunciar [vblex]
prononciation	[n] - pronunciación [n]
pronostic	[n] - pronóstico [n]
propagande	[n] - propaganda [n]
propagation	[n] - propagación [n]
propager	[vblex] - propagar [vblex]
prophète	[n.f] - profeta [n.mf]
prophète	[n.GD] - profeta [n.mf]
prophète	[n.m] - profeta [n.mf]
prophétique	[adj.mf] - profético [adj.f]
prophétique	[adj.mf] - profético [adj.GD]
prophétique	[adj.mf] - profético [adj.m]
propice	[adj.mf] - propicio [adj.f]
propice	[adj.mf] - propicio [adj.GD]
propice	[adj.mf] - propicio [adj.m]
proportion	[n] - proporción [n]
proportionnel	[adj.f] - proporcional [adj.mf]
proportionnel	[adj.GD] - proporcional [adj.mf]
proportionnel	[adj.m] - proporcional [adj.mf]
proportionnellement	[adv] - proporcionalmente [adv]
propos	[n.m.sp] - propósito [n.m.ND]
propos	[n.m.sp] - propósito [n.m.pl]
propos	[n.m.sp] - propósito [n.m.sg]
proposer	[vblex] - proponer [vblex]
proposition	[n] - proposición [n]
proposition	[n] - propuesta [n]
propostion	[n] - proposción [n]
propre	[adj.mf] - propio [adj.f]
propre	[adj.mf] - propio [adj.GD]
propre	[adj.mf] - propio [adj.m]
proprement	[adv] - propiamente [adv]
propreté	[n] - limpieza [n]
propriétaire	[adj.mf] - propietario [adj.f]
propriétaire	[adj.mf] - propietario [adj.GD]
propriétaire	[adj.mf] - propietario [adj.m]
propriétaire	[n.mf] - casero [n.f]
propriétaire	[n.mf] - casero [n.m]
propriétaire	[n.mf] - dueño [n.f]
propriétaire	[n.mf] - dueño [n.m]
propriétaire	[n.mf] - propietario [n.f]
propriétaire	[n.mf] - propietario [n.GD]
propriétaire	[n.mf] - propietario [n.m]
propriétaire	[n] - dueño [n]
propriété	[n] - finca [n]
propriété	[n] - propiedad [n]
propriété rurale	[n] - finca rústica [n]
prorogation	[n] - prorrogación [n]
prorogation	[n] - prórroga [n]
prospection	[n] - prospección [n]
prospère	[adj.mf] - próspero [adj.f]
prospère	[adj.mf] - próspero [adj.GD]
prospère	[adj.mf] - próspero [adj.m]
prospérité	[n] - prosperidad [n]
Prost	[np] - Prost [np]
prostitution	[n] - prostitución [n]
prostituée	[n] - prostituta [n]
prostration	[n] - postración [n]
protagoniste	[n] - protagonista [n]
protection	[n.f] - amparo [n.m]
protection	[n.f] - cobijo [n.m]
protection	[n] - protección [n]
protestant	[adj.f] - protestante [adj.mf]
protestant	[adj.GD] - protestante [adj.mf]
protestant	[adj.m] - protestante [adj.mf]
protestant	[n.f] - protestante [n.mf]
protestant	[n.GD] - protestante [n.mf]
protestant	[n.m] - protestante [n.mf]
protestation	[n] - protesta [n]
protester	[vblex] - protestar [vblex]
prothèse	[n.f.ND] - prótesis [n.f.sp]
prothèse	[n.f.pl] - prótesis [n.f.sp]
prothèse	[n.f.sg] - prótesis [n.f.sp]
protocolaire	[adj.mf] - protocolario [adj.f]
protocolaire	[adj.mf] - protocolario [adj.GD]
protocolaire	[adj.mf] - protocolario [adj.m]
protocole	[n] - protocolo [n]
prototype	[n] - prototipo [n]
protéger	[vblex] - amparar [vblex]
protéger	[vblex] - proteger [vblex]
protéger	[vblex] - respaldar [vblex]
protéger	[vblex] - tutelar [vblex]
protéine	[n] - proteína [n]
protêt	[n] - protesto [n]
protêt de lettre de change	[n] - protesto de letra [n]
proue	[n] - proa [n]
Proust	[np] - Proust [np]
prouver	[vblex] - probar [vblex]
provenance	[n] - procedencia [n]
provenant	[adj] - procedente [adj]
Provence	[np] - Provenza [np]
Provence-Alpes-Côte d'Azur	[np] - Provenza-Alpes-Costa Azul [np]
provenir	[vblex] - provenir [vblex]
proverbe	[n] - proverbio [n]
proverbe	[n] - refrán [n]
providence	[n] - providencia [n]
province	[n] - provincia [n]
Province du Cap	[np] - Provincia del Cabo [np]
Provinces Illyriennes	[np] - Provincias Ilirias [np]
Provinces-Unies	[np] - Provincias Unidas [np]
Provinces-Unies du Rio de la Plata	[np] - Provincias Unidas del Río de la Plata [np]
provincial	[adj.f] - provincial [adj.mf]
provincial	[adj.GD] - provincial [adj.mf]
provincial	[adj.m] - provincial [adj.mf]
provincial	[adj] - provinciano [adj]
provision	[n] - provisión [n]
provisoire	[adj] - provisional [adj]
provisoirement	[adv] - provisionalmente [adv]
provocateur	[adj] - provocador [adj]
provocation	[n] - provocación [n]
provoquer	[vblex] - provocar [vblex]
proximité	[n] - cercanía [n]
proximité	[n] - inmediación [n]
proximité	[n] - proximidad [n]
Prozac	[np] - Prozac [np]
prudence	[n] - cautela [n]
prudence	[n] - prudencia [n]
prudent	[adj.f] - prudente [adj.mf]
prudent	[adj.GD] - prudente [adj.mf]
prudent	[adj.m] - prudente [adj.mf]
prune	[n] - ciruela [n]
prunelle	[n] - pupila [n]
Prusse	[np] - Prusia [np]
Prusse Occidentale	[np] - Prusia Occidental [np]
Prusse-Orientale	[np] - Prusia Oriental [np]
près	[adv] - cerca [adv]
près	[pr] - cerca de [pr]
pré	[n] - prado [n]
pré-inscription	[n] - preinscripción [n]
préalable	[adj.mf] - previo [adj.f]
préalable	[adj.mf] - previo [adj.GD]
préalable	[adj.mf] - previo [adj.m]
préalablement	[adv] - previamente [adv]
précarisation	[n] - precarización [n]
précarité	[n] - precariedad [n]
précaution	[n] - precaución [n]
précepte	[n] - precepto [n]
précieux	[adj.f] - precioso [adj.f]
précieux	[adj.f] - valioso [adj.f]
précieux	[adj.m.sp] - precioso [adj.m.ND]
précieux	[adj.m.sp] - precioso [adj.m.pl]
précieux	[adj.m.sp] - precioso [adj.m.sg]
précieux	[adj.m.sp] - valioso [adj.m.pl]
précieux	[adj.m.sp] - valioso [adj.m.sg]
précipice	[n] - precipicio [n]
précipitation	[n] - precipitación [n]
précipiter	[vblex] - precipitar [vblex]
précis	[adj.f] - preciso [adj.f]
précis	[adj.m.sp] - preciso [adj.m.ND]
